Organization Name,Organization Name URL,Operating Status,Headquarters Location,Number of Employees,Description,Full Description,Industries,Founded Date,Founded Date Precision,Industry Groups,Top 5 Investors,IPO Status,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),Apptopia - Downloads Last 30 Days,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Number of Lead Investors,Number of Investors,Closed Date,Closed Date Precision,Estimated Revenue Range
Ofload,https://www.crunchbase.com/organization/ofload,Active,"Sydney, New South Wales, Australia",51-100,Ofload is a digital road freight platform that fully tackles freight inefficiencies.,"Ofload is a digital road freight platform that fully tackles inefficiencies. Ofload connects road freight to thousands of reliable carriers and manage it through technology. This means less waste and more data. Ofload manages end-to-end logistics fulfillment through technology, connects carriers with shippers helping shipments to be delivered quickly and affordably by taking up what would have been empty space in delivery vehicles, allowing businesses to have visibility of their shipments.","B2B, Freight Service, Logistics, Software, Supply Chain Management",2019-05-24,day,"Other, Software, Transportation","Flexport, Rocket Internet, Global Founders Capital, Flash Ventures, Foundamental",Private,558,,,Series A,20000000,AUD,14245582,Series A,20000000,AUD,14245582,23550000,AUD,16748796,27300000,AUD,19624653,6,3,8,,,$1M to $10M
Portal,https://www.crunchbase.com/organization/portal-e313,Active,"Chicago, Illinois, United States",1-10,Portal helps you impress your clients by turning around comprehensive.,"Portal helps you impress your clients by turning around comprehensive, elegant proposals faster than ever. You'll spend zero time managing a product database so you can focus all your time on closing the deal. Portal helps you impress your clients by turning around comprehensive, elegant proposals faster than ever. You'll spend zero time managing a product database so you can focus all your time on closing the deal.","Information Services, Information Technology, Internet, Logistics, Software",2011-01-01,year,"Information Technology, Internet Services, Software, Transportation",Innovacorp,Private,"46,078","67,548.5",,Seed,600000,CAD,529620,Seed,600000,CAD,529620,600000,CAD,529621,600000,CAD,529621,1,,1,,,Less than $1M
FERNRIDE,https://www.crunchbase.com/organization/fernride,Active,"Munich, Bayern, Germany",11-50,Driving logistics automation,"Fernride enables automated and sustainable logistics by combining the human skills of in-office drivers - known as teleoperators - with autonomous driving technology in a scalable platform. In addition to the platform itself, the turnkey solution includes sustainable trucks from leading OEMs, their seamless integration into existing logistics processes, and their remote, reliable operation under customized ""as-a-service"" agreements.  This means that logistics customers, which include DB Schenker or Volkswagen Group Logistics, can take the next step in automating their processes today.","Autonomous Vehicles, Electric Vehicle, Logistics, Software, Transportation",2019-10-04,day,"Software, Transportation","Speedinvest, Fly Ventures, 10x Group, Promus Ventures, Initiative for Industrial Innovators",Private,,,,Series A,7100000,EUR,8394330,Series A,7100000,EUR,8394330,8394330,USD,8394330,8394330,USD,8394330,2,2,5,,,
Envisics,https://www.crunchbase.com/organization/envisics,Active,"Milton Keynes, Milton Keynes, United Kingdom",51-100,"Envisics develops a dynamic holography platform for cars, providing enhanced dashboards of information to drivers.","Envisics develops a dynamic holography platform for cars, providing enhanced dashboards of information to drivers. The platform transforms automotive head-up displays through a combination of pioneering material science, custom silicon modulator designs, and patented light-processing algorithms, enabling users to have smarter and safer vehicles through immersive dynamic holography. In partnership with the world’s leading automakers and tier-one suppliers, Envisics is making the future of holographic technology a reality for smarter and safer vehicles.","Augmented Reality, Automotive, Information Technology, Logistics, Software, Transportation",2018-01-01,day,"Hardware, Information Technology, Software, Transportation","Hyundai Mobis, General Motors Ventures, SAIC Venture Capital, Van Tuyl Group",Private,944,,,Series B,50000000,USD,50000000,Series B,50000000,USD,50000000,50000000,USD,50000000,50000000,USD,50000000,1,1,4,,,$1M to $10M
SimpliRoute,https://www.crunchbase.com/organization/simpliroute,Active,"Santiago, Region Metropolitana, Chile",51-100,"SimpliRoute is an information technology company that specializes in the optimization, logistics, innovation, and big data.","SimpliRoute is an information technology company that specializes in the optimization, logistics, innovation, and big data. The company is dedicated to process optimization by means of designing innovative technological solutions for highly complex problems. SimpliRoute was founded in 2015 and headquartered in Santiago, Region Metropolitana.","Information Services, Information Technology, Logistics, Software",2015-10-25,day,"Information Technology, Software, Transportation","500 Startups, Plug and Play Tech Center, Wayra, Right Side Capital Management, TheVentureCity First Round",Private,"50,998","83,658.67",,Series B,8000000,USD,8000000,Series B,8000000,USD,8000000,11000000,USD,11000000,11225000,USD,11225000,6,1,5,,,$10M to $50M
Zonar Systems,https://www.crunchbase.com/organization/zonarsystems,Active,"Seattle, Washington, United States",251-500,Zonar Systems fuels innovative technology solutions that are shaping the future of smart fleet management.,"Founded in 2001, Zonar has pioneered smart fleet management solutions throughout vocational, pupil, mass transit and commercial trucking industries. Zonar helps fleets of all sizes maximize the use of their assets with solutions dedicated to improving compliance, efficiency, maintenance, ridership visibility, safety and tracking. Cloud-based services with open API's drive Zonar's smart fleet solutions by making it easy for fleet owners and managers to stay connected to their fleets and drivers and operators to dispatch. Headquartered in Seattle and majority-owned by technology company Continental, Zonar also has a Technology Development Center in downtown Seattle, a regional office in Cincinnati, and a distribution center outside of Atlanta. For more information about Zonar, go to www.zonarsystems.com","Fleet Management, Logistics, Software, Transportation",2001-01-01,year,"Software, Transportation","Daimler, Continental Tire",Private,"7,334","13,271.83",,Venture - Series Unknown,,,,Venture - Series Unknown,,,,50000000,USD,50000000,50000000,USD,50000000,2,2,2,,,$50M to $100M
Best Beer Japan,https://www.crunchbase.com/organization/best-beer-japan,Active,"Tokyo, Tokyo, Japan",1-10,Best Beer Japan provides a barrel tracking software for craft beer and barrel sharing.,Best Beer Japan provides a barrel tracking software for craft beer and barrel sharing.  The company was founded in 2018.,"Food Delivery, Information Technology, Logistics, Software",2018-05-01,month,"Food and Beverage, Information Technology, Software, Transportation","Headline, Brew, Mamoru Taniya, PE&HR, NOW Japan",Private,,,,Seed,70000000,JPY,605536,Seed,70000000,JPY,605536,739664,USD,739664,739664,USD,739664,3,1,24,,,
MyCarrier,https://www.crunchbase.com/organization/mycarrier,Active,"Scottsdale, Arizona, United States",51-100,MyCarrier is a transportation management platform that allows their clients to control their shipping needs directly with their carriers.,"MyCarrier is a transportation management platform that allows their clients to control their shipping needs directly with their carriers. The company helps small and medium-sized businesses compare rates, book a carrier, and track deliveries. MyCarrier was co-founded by Michael Bookout and Chris Scheid in 2017 and is based in Scottsdale, Arizona, United States.","Delivery Service, Logistics, Software, Transportation",2016-11-01,month,"Software, Transportation","Lerer Hippeau, Greycroft, Andrew Leto",Private,,,,Series A,11000000,USD,11000000,Series A,11000000,USD,11000000,14300000,USD,14300000,14300000,USD,14300000,3,2,3,,,$1M to $10M
Expedock,https://www.crunchbase.com/organization/expedock,Active,"Palo Alto, California, United States",11-50,Expedock is an AI-based outsourcing services provider for logistics and freight providers.,Expedock is an AI-based outsourcing services provider for logistics and freight providers.,"Artificial Intelligence, Freight Service, Logistics, Software",,,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software, Transportation","Bain Capital Ventures, Pear VC, Neo, Foxmont Capital Partners, Fourth Realm",Private,"1,298",,,Seed,4000000,USD,4000000,Seed,4000000,USD,4000000,7550000,USD,7550000,7550000,USD,7550000,3,3,7,,,$1M to $10M
3Gtms,https://www.crunchbase.com/organization/3gtms,Active,"Shelton, Connecticut, United States",51-100,"3GTMS develops software that simplifies complex transportation management for shippers, brokers and 3PLs.","3GTMS develops software that simplifies complex transportation management for shippers, brokers, and 3PLs. They have created a scalable TMS suite that manages the full transportation lifecycle from the rating, routing (including multi-stop and pool distribution optimization), tendering, tracking, tracing, and settlement in a single system.","Automotive, Logistics, Software",2013-04-09,day,"Software, Transportation","Hercules Capital, Sumeru Equity Partners",Private,"56,709","28,620.5",,Private Equity,15000000,USD,15000000,Private Equity,15000000,USD,15000000,20959354,USD,20959354,20959354,USD,20959354,3,2,2,,,$10M to $50M
Aerchain,https://www.crunchbase.com/organization/aerchain,Active,"Bengaluru, Karnataka, India",11-50,"Aerchain connects the procurement stakeholders seamlessly, increases visibility, encourages collaboration and improves efficiency.","Aerchain's platform offers easy financing options, transparent and cost-effective logistics and sourcing solutions that permit users to run e-auctions and gain a competitive advantage.","Enterprise Software, Logistics, Software",2016-01-01,year,"Software, Transportation","IndiaMART, Season Two Ventures",Private,"8,057","39,758",,Seed,3000000,USD,3000000,Seed,3000000,USD,3000000,3000000,USD,3000000,3000000,USD,3000000,1,2,2,,,
ARTA,https://www.crunchbase.com/organization/arta-shipping-inc,Active,"New York, New York, United States",11-50,ARTA is a logistics software and fulfillment service for goods and collectibles.,"ARTA is a logistics software and fulfillment service for goods and collectibles. The company's API automates shipping and fulfillment for high-value and collectible objects. Its software provides instant shipping costs for any item type—regardless of size, material, or price point—allowing our customers to reduce overhead, scale faster and offer a frictionless purchase experience for their buyers. With end-to-end global fulfillment services including shipping, packing, tracking, insurance, and more, ARTA is an all-in-one logistics solution for merchants and marketplaces.","Developer APIs, E-Commerce, Freight Service, Logistics, SaaS, Shipping, Software",2015-03-01,month,"Commerce and Shopping, Software, Transportation","Gaingels, Edward Lando, Graph Ventures, Corazon Capital, Lightbank",Private,,,,Seed,4500000,USD,4500000,Seed,4500000,USD,4500000,8500000,USD,8500000,8500000,USD,8500000,4,1,13,,,$1M to $10M
Mi Aguila,https://www.crunchbase.com/organization/mi-águila,Active,"Bogotá, Distrito Especial, Colombia",101-250,Mi Aguila is a technology company focused on empowering traditional businesses in Latin America through logistics and e-commerce software.,,"E-Commerce, Logistics, Software",2015-01-01,year,"Commerce and Shopping, Software, Transportation","Angel Ventures, K50 Ventures, Alpha4 Ventures, Charles Meyer",Private,929,,"8,727",Series A,3500000,USD,3500000,Convertible Note,3000000,USD,3000000,5950000,USD,5950000,8950000,USD,8950000,4,3,4,,,$1M to $10M
Ingram Micro,https://www.crunchbase.com/organization/ingram-micro,Active,"Irvine, California, United States",10001+,Ingram Micro is a provider of technology products and supply chain management services.,"Ingram Micro and its subsidiaries distribute information technology (IT) products and supply chain solutions worldwide. The company offers various IT products, including peripherals, systems, software, networking, and others. Its peripheral products comprise printers, scanners, displays, projectors, monitors, panels, mass storage, and tape; systems products include servers, desktops, portable personal computers, and personal digital assistants; and software products consist of business application software, operating system software, entertainment software, middleware, developer software tools, security software, and storage software. The networking products include networking hardware comprising switches, hubs, routers, wireless local area networks, wireless wide area networks, network interface cards, cellular data cards, network-attached storage, and storage area networks; communication products consisting of voice over Internet protocol communications, modems, phone systems, and video/audio conferencing; and network security hardware products. The other products comprise large format LCD and plasma displays, enclosures, mounts, media players, content software, content creation, content hosting, and installation services; processors, motherboards, hard drives, and memory; ink and toner supplies, paper, carrying cases, and anti-glare screens; cell phones, digital cameras, digital video disc players, game consoles, televisions, audio, and home control; and barcode/card printers, AIDC scanners, AIDC software, and wireless infrastructure products. The company also provides supply chain services, technical support, financial services, sales and marketing services, eCommerce services, and managed services. It markets its products and services through sales representatives, resellers, and distributors. As of January 2, 2010, the company had 103 distribution centers. Ingram Micro Inc. was founded in 1979 and is headquartered in Santa Ana, California.","Electronics, Information Technology, Logistics, Software, Supply Chain Management, VoIP",1979-01-01,year,"Consumer Electronics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software, Transportation",ACE & Company,Delisted,,,,Private Equity,,,,Private Equity,,,,,,,,,,1,,1,,,$10B+
PrettyDamnQuick,https://www.crunchbase.com/organization/prettydamnquick,Active,"Herzliya, Tel Aviv, Israel",11-50,Delivery tech for eCommerce stores,PDQ makes logistics super simple for retailers. PrettyDamnQuick's logistics workspace connects eCommerce stores to delivery services so that retailers can fulfill and ship customers' orders effortlessly for less time and money. Ready to end your logistics nightmare and start getting sh*p done?,"E-Commerce, E-Commerce Platforms, Logistics, Software",2020-01-01,year,"Commerce and Shopping, Internet Services, Software, Transportation","TLV Partners, Ground Up Ventures, Verissimo Ventures",Private,,,,Seed,6000000,USD,6000000,Seed,6000000,USD,6000000,6000000,USD,6000000,6000000,USD,6000000,1,1,3,,,
Surve Mobility,https://www.crunchbase.com/organization/chargery,Active,"Berlin, Berlin, Germany",251-500,Surve Mobility Europe's No. 1 for intelligent shared mobility operations.,"We are SURVE — Europe's No. 1 for intelligent shared mobility operations. Through an integration of full service, intelligent software and smart infrastructure solutions we provide highly efficient and sustainable shared mobility operations to set shared mobility fleets in motion.","Automotive, Car Sharing, Logistics, Software, Transportation",2017-08-09,day,"Software, Transportation","Lead Ventures, Vinci Venture Capital, Helvetia Venture Fund, Linden Capital",Private,"1,076","823,144.83",,Series A,5000000,EUR,5925750,Series A,5000000,EUR,5925750,5925750,USD,5925750,5925750,USD,5925750,4,4,4,,,Less than $1M
